date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2020-05-07,regime,0.016211,9.99,2.273,riot,0.020018,8.63,2.117,riot,0.147362,31.9,8.9,riot,0.018206,9.96,3.657,riot,0.148671,58.35,9.237,riot,0.149592,60.78,9.381,riot
2020-05-08,regime,0.016292,10.08,2.284,riot,0.020462,8.99,2.164,riot,0.144214,31.13,8.71,riot,0.018374,10.08,3.691,riot,0.145399,56.91,9.033,riot,0.146413,59.33,9.181,riot
2020-05-11,regime,0.016658,10.48,2.336,riot,0.019438,8.16,2.055,riot,0.14467,31.24,8.737,riot,0.017635,9.53,3.543,riot,0.146223,57.27,9.085,riot,0.147036,59.61,9.22,riot
2020-05-12,regime,0.012787,6.22,1.793,riot,0.019338,8.08,2.045,riot,0.139713,30.04,8.438,riot,0.018025,9.82,3.621,riot,0.143892,56.25,8.94,riot,0.144381,58.41,9.054,riot
2020-05-13,regime,0.012696,6.12,1.78,riot,0.019846,8.49,2.098,riot,0.13951,29.99,8.425,riot,0.018665,10.3,3.75,riot,0.143805,56.21,8.934,riot,0.144123,58.29,9.038,riot
2020-05-14,regime,0.012711,6.14,1.782,riot,0.019363,8.1,2.047,riot,0.13476,28.83,8.139,riot,0.017216,9.21,3.458,riot,0.140005,54.53,8.698,riot,0.138306,55.64,8.673,riot
2020-05-15,regime,0.011792,5.13,1.653,riot,0.019352,8.09,2.046,riot,0.134375,28.73,8.115,riot,0.015699,8.07,3.154,riot,0.139199,54.18,8.648,riot,0.1381,55.55,8.66,riot
2020-05-18,regime,0.011621,4.94,1.629,riot,0.021349,9.72,2.257,riot,0.133897,28.62,8.086,riot,0.017469,9.4,3.509,riot,0.138404,53.83,8.599,riot,0.137276,55.18,8.608,riot
2020-05-19,regime,0.011073,4.34,1.553,riot,0.019649,8.33,2.078,riot,0.131522,28.04,7.943,riot,0.01679,8.89,3.373,riot,0.13506,52.36,8.391,riot,0.132264,52.9,8.294,riot
2020-05-20,regime,0.009304,2.39,1.305,riot,0.019706,8.38,2.084,riot,0.105515,21.7,6.372,riot,0.016668,8.8,3.348,riot,0.105236,39.23,6.538,riot,0.105044,40.52,6.587,riot
