date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1991-04-03,regime,0.011996,-0.33,0.945,normal,0.028027,-1.95,0.572,freeze,0.027095,-2.21,0.482,freeze
1991-04-04,regime,0.012234,-0.21,0.964,normal,0.028325,-1.93,0.578,freeze,0.026627,-2.24,0.474,freeze
1991-04-05,regime,0.012822,0.06,1.011,normal,0.027763,-1.98,0.567,freeze,0.026263,-2.27,0.467,freeze
1991-04-08,regime,0.012632,-0.03,0.996,normal,0.027733,-1.98,0.566,freeze,0.026265,-2.27,0.467,freeze
1991-04-09,regime,0.012426,-0.12,0.979,normal,0.027869,-1.97,0.569,freeze,0.026671,-2.24,0.475,freeze
1991-04-10,regime,0.012602,-0.04,0.993,normal,0.024276,-2.3,0.496,freeze,0.023509,-2.48,0.418,freeze
1991-04-11,regime,0.013122,0.2,1.034,normal,0.023865,-2.34,0.487,freeze,0.023818,-2.46,0.424,freeze
1991-04-12,regime,0.013088,0.19,1.031,normal,0.023629,-2.36,0.482,freeze,0.023703,-2.47,0.422,freeze
1991-04-15,regime,0.01299,0.14,1.024,normal,0.02338,-2.39,0.477,freeze,0.023634,-2.47,0.421,freeze
1991-04-16,regime,0.013017,0.16,1.026,normal,0.023153,-2.41,0.473,freeze,0.024681,-2.39,0.439,freeze
1991-04-17,regime,0.011639,-0.49,0.917,normal,0.021871,-2.53,0.447,freeze,0.020704,-2.69,0.368,freeze
1991-04-18,regime,0.012806,0.06,1.009,normal,0.024314,-2.3,0.496,freeze,0.021115,-2.66,0.376,freeze
1991-04-19,regime,0.014252,0.74,1.123,normal,0.023778,-2.35,0.485,freeze,0.020754,-2.69,0.369,freeze
1991-04-22,regime,0.014951,1.07,1.178,normal,0.020836,-2.63,0.425,freeze,0.019177,-2.81,0.341,freeze
1991-04-23,regime,0.014954,1.07,1.179,normal,0.019344,-2.76,0.395,freeze,0.019645,-2.77,0.35,freeze
1991-04-24,regime,0.014396,0.81,1.135,normal,0.019131,-2.78,0.391,freeze,0.019678,-2.77,0.35,freeze
1991-04-25,regime,0.014348,0.78,1.131,normal,0.018048,-2.89,0.368,freeze,0.019313,-2.8,0.344,freeze
1991-04-26,regime,0.014354,0.79,1.131,normal,0.018175,-2.87,0.371,freeze,0.019486,-2.79,0.347,freeze
1991-04-29,regime,0.014594,0.9,1.15,normal,0.018079,-2.88,0.369,freeze,0.019471,-2.79,0.346,freeze
1991-04-30,regime,0.014278,0.75,1.125,normal,0.018013,-2.89,0.368,freeze,0.019621,-2.78,0.349,freeze
1991-05-01,regime,0.014455,0.83,1.139,normal,0.018069,-2.88,0.369,freeze,0.019633,-2.77,0.349,freeze
1991-05-02,regime,0.014315,0.77,1.128,normal,0.017038,-2.98,0.348,freeze,0.019228,-2.8,0.342,freeze
1991-05-03,regime,0.013893,0.57,1.095,normal,0.016967,-2.99,0.346,freeze,0.019153,-2.81,0.341,freeze
1991-05-06,regime,0.013916,0.58,1.097,normal,0.017496,-2.94,0.357,freeze,0.019377,-2.79,0.345,freeze
1991-05-07,regime,0.013909,0.58,1.096,normal,0.01635,-3.04,0.334,freeze,0.018496,-2.86,0.329,freeze
1991-05-08,regime,0.013708,0.48,1.08,normal,0.016079,-3.07,0.328,freeze,0.017694,-2.92,0.315,freeze
1991-05-09,regime,0.013392,0.33,1.055,normal,0.016109,-3.07,0.329,freeze,0.017348,-2.95,0.309,freeze
1991-05-10,regime,0.013933,0.59,1.098,normal,0.016682,-3.01,0.341,freeze,0.017052,-2.97,0.303,freeze
